"Category1","Category2","Category3","Product Name","Brand Name","Product Url","SKU/Product ID","Domain","Price","Discounted Price","Currency","In Stock","Image Url","Category ID","Field1/Name","Field1/Value","Field2/Name","Field2/Value","Field3/Name","Field3/Value","Field4/Name","Field4/Value","Field5/Name","Field5/Value","Field6/Name","Field6/Value"
"Electronics","Mobile Phones, Tablets & Accessories","Mobile Phones","Samsung B310E (Dual SIM) - White","Samsung","http://en-ae.wadi.com/samsung-b310e-dual-sim-white-40923.html","SA766EL76INZ","en-ae.wadi.com","130","105","AED","True","images/images_wadi/5730ce032678ec8330da294b/Samsung B310E (Dual SIM) - White.jpg","5730ce032678ec8330da294b","Type","Basic Phone","Operating System","Native","Color","white"
"Electronics","Mobile Phones, Tablets & Accessories","Mobile Phones","Nokia 222 (16 MB  2G  White  Dual SIM)","Nokia","http://en-ae.wadi.com/nokia-222-16-mb-2g-white-dual-sim-77870.html","NO765EL29LFA","en-ae.wadi.com","154","139","AED","True","images/images_wadi/5730ce032678ec8330da294b/Nokia 222 (16 MB  2G  White  Dual SIM).jpg","5730ce032678ec8330da294b","Type","Basic Phone","Operating System","Native","Color","white"
"Electronics","Mobile Phones, Tablets & Accessories","Mobile Phones","Nokia 130 - Red","Nokia","http://en-ae.wadi.com/nokia-130-red-26825.html","NO765EL74NRT","en-ae.wadi.com","117","102","AED","True","images/images_wadi/5730ce032678ec8330da294b/Nokia 130 - Red.jpg","5730ce032678ec8330da294b","Type","Basic Phone","Operating System","Native","Color","black"
"Electronics","Mobile Phones, Tablets & Accessories","Mobile Phones","Microsoft Nokia Lumia 830 RM-984 (16 GB  Black)","Microsoft","http://en-ae.wadi.com/nokia-lumia-830-rm-984-16-gb-black-40924.html","NO765EL75IOA","en-ae.wadi.com","946","852","AED","True","images/images_wadi/5730ce032678ec8330da294b/Microsoft Nokia Lumia 830 RM-984 (16 GB  Black).jpg","5730ce032678ec8330da294b","Type","Basic Phone","Operating System","Native","Color","black"
"Electronics","Mobile Phones, Tablets & Accessories","Mobile Phones","NOKIA 130 DS RM-1035(2G  1.8 inches  Dual Sim) - White","Nokia","http://en-ae.wadi.com/nokia-130-ds-rm-1035-2g-1-8-inches-dual-sim-white-40936.html","NO765EL63IOM","en-ae.wadi.com","148","89","AED","True","images/images_wadi/5730ce032678ec8330da294b/NOKIA 130 DS RM-1035(2G  1.8 inches  Dual Sim) - White.jpg","5730ce032678ec8330da294b","Type","Basic Phone","Operating System","Native","Color","white"
"Electronics","Mobile Phones, Tablets & Accessories","Mobile Phones","Nokia 108 (4 MB  2G  Black  Dual SIM)","Nokia","http://en-ae.wadi.com/nokia-108-4-mb-2g-black-dual-sim-26824.html","NO765EL75NRS","en-ae.wadi.com","112","101","AED","True","images/images_wadi/5730ce032678ec8330da294b/Nokia 108 (4 MB  2G  Black  Dual SIM).jpg","5730ce032678ec8330da294b","Type","Basic Phone","Operating System","Native","Color","black"
"Electronics","Mobile Phones, Tablets & Accessories","Mobile Phones","Nokia 215 (8 MB  2G  Green  Dual SIM)","Nokia","http://en-ae.wadi.com/nokia-215-8-mb-2g-green-dual-sim-70238.html","NO765EL61ZXM","en-ae.wadi.com","138","124","AED","True","images/images_wadi/5730ce032678ec8330da294b/Nokia 215 (8 MB  2G  Green  Dual SIM).jpg","5730ce032678ec8330da294b","Type","Basic Phone","Operating System","Native","Color","green"
"Electronics","Mobile Phones, Tablets & Accessories","Mobile Phones","Nokia 105 DS","Nokia","http://en-ae.wadi.com/105-ds-165160.html","NO765EL39KII","en-ae.wadi.com","85","85","AED","True","images/images_wadi/5730ce032678ec8330da294b/Nokia 105 DS.jpg","5730ce032678ec8330da294b","Type","Basic Phone","Operating System","Native","Color","blue"
"Electronics","Mobile Phones, Tablets & Accessories","Mobile Phones","Nokia 130","Nokia","http://en-ae.wadi.com/130-165164.html","NO765EL35KIM","en-ae.wadi.com","93","93","AED","True","images/images_wadi/5730ce032678ec8330da294b/Nokia 130.jpg","5730ce032678ec8330da294b","Type","Basic Phone","Operating System","Native","Color","black"
"Electronics","Mobile Phones, Tablets & Accessories","Mobile Phones","Nokia 108","Nokia","http://en-ae.wadi.com/108-165163.html","NO765EL36KIL","en-ae.wadi.com","107","107","AED","True","images/images_wadi/5730ce032678ec8330da294b/Nokia 108.jpg","5730ce032678ec8330da294b","Type","Basic Phone","Operating System","Native","Color","white"
